"","comuna_name","year","geography_unit","weighted_mean_income","weighted_median_income","weighted_gini_income","lb_weighted_mean_income","ub_weighted_mean_income","lb_weighted_median_income","ub_weighted_median_income","lb_weighted_gini_income","ub_weighted_gini_income"
"252","Cerrillos",1996,3,124345,87771,0.423,118236,130559,85824,90660,0.405,0.441
"253","Cerrillos",2000,3,158024,101651,0.463,144022,169733,98000,115883,0.432,0.496
"254","Cerrillos",2006,3,183287,114300,0.505,167646,207331,108553,124567,0.469,0.545
"255","Cerrillos",1998,3,158789,97771,0.454,144132,180611,95553,121272,0.414,0.51
"256","Cerrillos",1994,3,93862,68754,0.473,86491,100477,62043,70176,0.44,0.504
"257","Cerrillos",2011,3,201502,128804,0.457,174199,242230,120360,145438,0.406,0.496
"258","Cerrillos",2009,3,199717,149175,0.401,186315,210916,137186,157969,0.378,0.422
"259","Cerrillos",1992,3,66416,41718,0.477,59450,75051,40078,45291,0.423,0.526
"260","Cerro Navia",2006,3,107237,88896,0.36,103148,111442,86767,91219,0.347,0.372
"261","Cerro Navia",1990,3,35304,24485,0.44,32449,38907,23507,25320,0.401,0.486
"262","Cerro Navia",2003,3,122675,81593,0.45,115309,133815,80038,85875,0.418,0.48
"263","Cerro Navia",2011,3,158761,137711,0.322,146627,174186,128923,142778,0.288,0.364
"264","Cerro Navia",1996,3,81690,60860,0.374,78479,85630,58892,63063,0.359,0.394
"265","Cerro Navia",1994,3,73683,53549,0.479,67808,80862,48564,55655,0.438,0.517
"266","Cerro Navia",2009,3,128363,103791,0.362,122380,135894,100357,110284,0.345,0.382
"267","Cerro Navia",1998,3,89846,68637,0.376,86403,93689,66922,71048,0.358,0.392
"268","Cerro Navia",2015,3,177823,149968,0.324,172666,184170,147929,157810,0.31,0.337
"269","Cerro Navia",1992,3,42338,32616,0.392,40387,44689,31177,34987,0.374,0.412
"270","Cerro Navia",2000,3,120929,75765,0.48,113391,129119,73160,80300,0.46,0.501
"271","Chanco",2011,3,115108,95250,0.329,107906,124272,88007,104437,0.298,0.357
"272","Chanco",2006,3,79897,60963,0.411,75029,86141,56925,65751,0.383,0.44
"273","Chanco",2000,3,66637,44415,0.448,60765,71316,41223,46573,0.416,0.476
"274","Chanco",2003,3,72137,53499,0.405,68848,77312,49851,55738,0.383,0.427
"275","Chanco",2009,3,107739,77755,0.412,98505,114859,75594,80938,0.376,0.442
"276","Chanco",1994,3,31986,22768,0.413,30160,34217,21927,24403,0.387,0.44
"277","Chañaral",2006,3,149088,102787,0.445,135375,160643,93860,109435,0.41,0.478
"278","Chañaral",1996,3,118429,58704,0.559,105488,130292,55000,65246,0.531,0.579
"279","Chañaral",1994,3,58669,41074,0.456,54631,62912,39198,43366,0.433,0.481
"280","Chañaral",2000,3,100869,61782,0.482,93127,112229,56735,64013,0.452,0.529
"281","Chañaral",2003,3,94282,68706,0.436,87877,99573,63492,75723,0.413,0.463
"282","Chañaral",2015,3,235341,165251,0.423,222784,246202,156982,174232,0.4,0.441
"283","Chañaral",2009,3,167705,113115,0.458,150293,185544,108258,122065,0.417,0.497
"284","Chañaral",2011,3,224561,143925,0.444,197708,244986,135651,159193,0.403,0.471
"285","Chañaral",1998,3,96693,56747,0.509,86232,105606,50786,61257,0.482,0.532
"286","Chañaral",1990,3,48095,27706,0.534,42762,53243,25863,28714,0.488,0.576
"287","Chañaral",1992,3,67165,41762,0.512,61641,73003,39778,43437,0.477,0.538
"288","Chépica",2006,3,97915,67270,0.431,87470,113922,63280,71921,0.375,0.499
"289","Chépica",2009,3,125970,90858,0.411,115332,138628,85926,96074,0.371,0.455
"290","Chépica",2000,3,64308,40457,0.478,58542,68970,39085,46871,0.452,0.504
"291","Chépica",2011,3,176750,103114,0.497,148046,212620,95748,106294,0.409,0.568
"292","Chiguayante",2006,3,177835,91789,0.568,157498,192758,83802,97957,0.532,0.598
"293","Chiguayante",2009,3,166049,117130,0.426,152629,183061,101405,127455,0.392,0.452
"294","Chiguayante",2000,3,61867,38831,0.483,55391,69188,35726,41919,0.439,0.525
"295","Chiguayante",1994,3,35633,20461,0.54,32066,38891,18304,20820,0.51,0.575
"296","Chiguayante",2003,3,55859,36152,0.479,49334,62130,33641,39367,0.419,0.527
"297","Chiguayante",2015,3,199031,151585,0.401,191397,207796,144707,158719,0.387,0.416
"298","Chiguayante",2011,3,332134,185841,0.517,302903,369824,177498,201516,0.482,0.552
"299","Chiguayante",1992,3,27286,20411,0.416,25788,29672,19570,21232,0.389,0.455
"300","Chile Chico",2006,3,252098,154952,0.488,226977,290629,145141,181414,0.444,0.557
"301","Chile Chico",2015,3,277725,196809,0.438,244891,313252,153216,223086,0.399,0.48
"302","Chile Chico",2011,3,287468,164722,0.481,258961,326376,155961,197479,0.448,0.514
"303","Chile Chico",2009,3,326913,223998,0.53,283188,365738,188013,234868,0.491,0.559
"304","Chillán",2000,3,63427,40185,0.485,57587,69536,37459,45000,0.458,0.509
